date,time,event,duration_hours,location
2024-05-15,09:00,Team standup,0.5,Office - Shoreditch
2024-05-15,11:00,Code review session,2,Office - Shoreditch
2024-05-15,14:00,Lunch at Borough Market,1,Borough Market
2024-05-15,16:00,Client demo prep,1.5,Office - Shoreditch
2024-05-15,19:00,Drinks with mates,2,The Ten Bells
2024-05-16,08:30,Morning run,0.5,Regent's Park
2024-05-16,10:00,Product planning meeting,2,Office - Shoreditch
2024-05-16,13:00,Grab sandwich,0.5,Pret nearby
2024-05-16,15:00,Deep work - feature dev,3,Office - Shoreditch
2024-05-16,20:00,Pub quiz,2,The Crown & Shuttle
2024-05-17,11:00,Weekend farmers market,1,Broadway Market
